## location: Lindau
## highway: A96
## id: 9250
date,pkw,lkw,mot,various,total
2011-09-06,16557,5804,454,12679,35494
2011-09-07,17218,5540,391,12282,35431
2011-09-08,19050,5367,474,12388,37279
2011-09-09,22793,4878,686,12237,40594
2011-09-10,25238,1656,809,6480,34183
2011-09-11,24781,826,819,4915,31341
2011-09-12,17499,5189,468,11846,35002
2011-09-13,15857,5632,484,12094,34067
2011-09-14,16263,5654,372,12141,34430
2011-09-15,17806,5409,509,12050,35774
2011-09-16,22860,4832,811,11618,40121
2011-09-17,21916,1571,600,5852,29939
2011-09-18,21991,751,606,4389,27737
2011-09-19,18037,5212,490,11744,35483
2011-09-20,15928,5734,391,12219,34272
2011-09-21,16962,5792,435,12605,35794
2011-09-22,18612,5646,477,12469,37204
2011-09-23,23890,5035,673,12039,41637
2011-09-24,22393,1740,707,6135,30975
2011-09-25,25847,859,798,4837,32341
2011-09-26,17709,5444,427,12052,35632
2011-09-27,16408,5681,430,12269,34788
2011-09-28,17785,5801,462,12588,36636
2011-09-29,19153,5798,466,12932,38349
2011-09-30,26583,5332,777,13392,46084
2011-10-01,26096,1988,794,7259,36137
2011-10-02,27076,857,756,5008,33697
2011-10-03,23531,1252,766,5734,31283
2011-10-04,17375,6072,431,13149,37027
2011-10-05,16206,5859,446,12571,35082
2011-10-06,17288,5603,410,12341,35642
2011-10-07,20939,4902,431,11391,37663
2011-10-08,18625,1541,385,5188,25739
2011-10-09,18870,611,351,3338,23170
2011-10-10,16310,5094,322,11187,32913
2011-10-11,14939,5661,290,11892,32782
2011-10-12,15896,5698,357,12085,34036
2011-10-13,16721,5598,351,12171,34841
2011-10-14,21593,4945,401,11599,38538
2011-10-15,18586,1495,311,5408,25800
2011-10-16,20415,623,367,3762,25167
2011-10-17,16894,5125,324,11407,33750
2011-10-18,15787,5414,335,11757,33293
2011-10-19,16323,5720,319,12124,34486
2011-10-20,17019,5268,328,11745,34360
